date,election,source
2008-03-08,GE12,Suruhanjaya Pilihan Raya Malaysia (SPR) - Pilihan Raya Umum ke-12
2013-05-05,GE13,Suruhanjaya Pilihan Raya Malaysia (SPR) - Pilihan Raya Umum ke-13
2018-05-09,GE14,Suruhanjaya Pilihan Raya Malaysia (SPR) - Pilihan Raya Umum ke-14
2022-11-19,GE15,Suruhanjaya Pilihan Raya Malaysia (SPR) - Pilihan Raya Umum ke-15
